  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:01 /sbin/init splash
    2 ?        S      0:00 [kthreadd]
    3 ?        I<     0:00 [rcu_gp]
    4 ?        I<     0:00 [rcu_par_gp]
    5 ?        I      0:00 [kworker/0:0-eve]
    6 ?        I<     0:00 [kworker/0:0H-kb]
    7 ?        I      0:01 [kworker/0:1-eve]
    9 ?        I<     0:00 [mm_percpu_wq]
   10 ?        S      0:00 [ksoftirqd/0]
   11 ?        I      0:01 [rcu_sched]
   12 ?        S      0:00 [migration/0]
   13 ?        S      0:00 [idle_inject/0]
   14 ?        S      0:00 [cpuhp/0]
   15 ?        S      0:00 [cpuhp/1]
   16 ?        S      0:00 [idle_inject/1]
   17 ?        S      0:00 [migration/1]
   18 ?        S      0:00 [ksoftirqd/1]
   20 ?        I<     0:00 [kworker/1:0H-kb]
   21 ?        S      0:00 [cpuhp/2]
   22 ?        S      0:00 [idle_inject/2]
   23 ?        S      0:00 [migration/2]
   24 ?        S      0:00 [ksoftirqd/2]
   26 ?        I<     0:00 [kworker/2:0H]
   27 ?        S      0:00 [cpuhp/3]
   28 ?        S      0:00 [idle_inject/3]
   29 ?        S      0:00 [migration/3]
   30 ?        S      0:00 [ksoftirqd/3]
   32 ?        I<     0:00 [kworker/3:0H-kb]
   33 ?        S      0:00 [kdevtmpfs]
   34 ?        I<     0:00 [netns]
   35 ?        S      0:00 [rcu_tasks_kthre]
   36 ?        S      0:00 [kauditd]
   37 ?        S      0:00 [khungtaskd]
   38 ?        S      0:00 [oom_reaper]
   39 ?        I<     0:00 [writeback]
   40 ?        S      0:00 [kcompactd0]
   41 ?        SN     0:00 [ksmd]
   42 ?        SN     0:00 [khugepaged]
   48 ?        I      0:00 [kworker/1:1-pm]
   53 ?        I      0:00 [kworker/3:1-cgr]
  136 ?        I<     0:00 [kintegrityd]
  137 ?        I<     0:00 [kblockd]
  138 ?        I<     0:00 [blkcg_punt_bio]
  139 ?        I<     0:00 [tpm_dev_wq]
  140 ?        I<     0:00 [ata_sff]
  141 ?        I<     0:00 [md]
  142 ?        I<     0:00 [edac-poller]
  143 ?        I<     0:00 [devfreq_wq]
  144 ?        S      0:00 [watchdogd]
  147 ?        S      0:00 [kswapd0]
  148 ?        I<     0:00 [kworker/u9:0]
  149 ?        S      0:00 [ecryptfs-kthrea]
  152 ?        I<     0:00 [kthrotld]
  153 ?        I<     0:00 [acpi_thermal_pm]
  154 ?        S      0:00 [scsi_eh_0]
  155 ?        I<     0:00 [scsi_tmf_0]
  156 ?        S      0:00 [scsi_eh_1]
  157 ?        I<     0:00 [scsi_tmf_1]
  160 ?        I<     0:00 [ipv6_addrconf]
  171 ?        I<     0:00 [kstrp]
  190 ?        I<     0:00 [charger_manager]
  247 ?        I      0:00 [kworker/2:2-eve]
  249 ?        S      0:00 [scsi_eh_2]
  250 ?        I<     0:00 [scsi_tmf_2]
  253 ?        I<     0:00 [kworker/0:1H-kb]
  254 ?        I<     0:00 [kworker/1:1H-kb]
  275 ?        S      0:00 [jbd2/sda1-8]
  276 ?        I<     0:00 [ext4-rsv-conver]
  292 ?        I<     0:00 [kworker/3:1H-kb]
  307 ?        I<     0:00 [kworker/2:1H-kb]
  321 ?        S<s    0:00 /lib/systemd/systemd-journald
  341 ?        I      0:00 [kworker/2:3-eve]
  343 ?        Ss     0:00 /lib/systemd/systemd-udevd
  344 ?        I      0:00 [kworker/3:2-eve]
  350 ?        S<     0:00 [loop0]
  359 ?        S<     0:00 [loop1]
  374 ?        S<     0:00 [loop2]
  387 ?        S<     0:00 [loop3]
  393 ?        S<     0:00 [loop4]
  403 ?        S<     0:00 [loop5]
  404 ?        S<     0:00 [loop6]
  412 ?        S<     0:00 [loop7]
  427 ?        S<     0:00 [loop8]
  442 ?        S<     0:00 [loop9]
  447 ?        S<     0:00 [loop10]
  451 ?        I<     0:00 [iprt-VBoxWQueue]
  465 ?        S<     0:00 [loop11]
  472 ?        S<     0:00 [loop12]
  493 ?        S<     0:00 [loop13]
  494 ?        S<     0:00 [loop14]
  499 ?        S<     0:00 [loop15]
